Mobile_name,Brand,Price,OS,Usage,Reviews,Purchase_link,Sentiment_Score
Asus ROG Phone 9,Asus,42472.93,Android,productivity,"The charging is poor and the portability does not offer good reliability sadly.||Very happy with the strong charging and the battery experience every single day.||Moderate audio and acceptable usability, suitable for everyday simple activities.||Terrible battery performance and the design feels broken, this phone is unacceptable.||The screen is horrible and the portability makes the entire device annoying to use.||Did not expect such great charging and display, this phone truly shocked me.||Moderate camera and acceptable performance, suitable for everyday simple activities.||The portability is impressive and the charging performance feels smooth during everyday use.||Wow, the charging performance and the camera efficiency were much better than expected.||Terrible audio performance and the performance feels broken, this phone is unacceptable.",https://www.amazon.in/asus-mobile-phones,50.0
Galaxy A56,Samsung,42280.14,Android,productivity,"Moderate heating and acceptable portability, suitable for everyday simple activities.||Weak charging paired with inconsistent performance results in an unsatisfying experience daily.||Excellent audio quality and the screen makes the phone enjoyable for long usage.||Did not expect such great charging and usability, this phone truly shocked me.||Wow, the display performance and the camera efficiency were much better than expected.||Surprisingly strong charging and the software performs far better than I expected initially.||Wow, the software performance and the display efficiency were much better than expected.||The software underperforms sometimes and the portability feels weaker than expected overall.||Wow, the portability performance and the camera efficiency were much better than expected.||Amazing surprise with the excellent display and the camera functioning smoothly always.||Surprisingly strong heating and the performance performs far better than I expected initially.||Average software performance paired with a stable usability suitable for casual users.",https://www.amazon.in/samsung,70.0
Realme GT 6,Realme,94475.24,Android,productivity,"The camera underperforms sometimes and the performance feels weaker than expected overall.||Very happy with the strong audio and the screen experience every single day.||Excellent charging quality and the battery makes the phone enjoyable for long usage.||Did not expect such great screen and display, this phone truly shocked me.||The design is impressive and the display performance feels smooth during everyday use.||The camera underperforms sometimes and the battery feels weaker than expected overall.||Very happy with the strong battery and the display experience every single day.||The display is impressive and the battery performance feels smooth during everyday use.||Nothing special but audio and screen work normally for basic phone requirements.||Amazing audio and usability combination, making this phone feel premium and fast.||Excellent usability quality and the performance makes the phone enjoyable for long usage.",https://www.amazon.in/realme,70.0
Vivo X100 Pro,Vivo,26643.29,Android,casual,"The display feels okay and the audio delivers a standard experience overall.||The design is horrible and the portability makes the entire device annoying to use.||The camera is horrible and the usability makes the entire device annoying to use.||I love the reliable audio and the heating works perfectly in all situations.||Terrible camera performance and the portability feels broken, this phone is unacceptable.||The battery underperforms sometimes and the camera feels weaker than expected overall.||Disappointed with the slow audio and the charging which struggles during long use.||Amazing audio and camera combination, making this phone feel premium and fast.||The performance is impressive and the design performance feels smooth during everyday use.||The performance is horrible and the portability makes the entire device annoying to use.||Excellent software quality and the portability makes the phone enjoyable for long usage.",https://www.flipkart.com/vivo-phones,40.0
Galaxy M55,Samsung,82498.62,Android,photography,"Very frustrating software and the usability constantly lags making usage extremely irritating.||Average performance performance paired with a stable design suitable for casual users.||Bad screen with extremely poor heating, this phone should be avoided at all costs.||The charging gives trouble and the heating feels disappointing compared to other phones.||The battery is horrible and the charging makes the entire device annoying to use.||Very frustrating performance and the screen constantly lags making usage extremely irritating.||Terrible audio performance and the screen feels broken, this phone is unacceptable.||Average audio performance paired with a stable camera suitable for casual users.||Unexpectedly impressive design quality and the display works flawlessly even under stress.||The portability gives trouble and the camera feels disappointing compared to other phones.||The camera underperforms sometimes and the charging feels weaker than expected overall.",https://www.amazon.in/samsung,20.0
Galaxy S25 Ultra,Samsung,93377.03,Android,photography,"The camera is impressive and the portability performance feels smooth during everyday use.||The battery is impressive and the design performance feels smooth during everyday use.||Bad design with extremely poor usability, this phone should be avoided at all costs.||The camera is poor and the audio does not offer good reliability sadly.||Moderate battery and acceptable display, suitable for everyday simple activities.||Disappointed with the slow charging and the display which struggles during long use.||I love the reliable performance and the heating works perfectly in all situations.||I love the reliable display and the camera works perfectly in all situations.||Nothing special but usability and design work normally for basic phone requirements.||Wow, the performance performance and the usability efficiency were much better than expected.||The battery underperforms sometimes and the software feels weaker than expected overall.||I love the reliable battery and the portability works perfectly in all situations.||Moderate audio and acceptable performance, suitable for everyday simple activities.||Wow, the camera performance and the battery efficiency were much better than expected.||Bad performance with extremely poor design, this phone should be avoided at all costs.",https://www.amazon.in/samsung,60.0
Vivo X100 Pro,Vivo,47399.44,Android,gaming,"The display gives trouble and the battery feels disappointing compared to other phones.||Amazing surprise with the excellent screen and the design functioning smoothly always.||The usability is horrible and the performance makes the entire device annoying to use.||The battery is fine and the audio works decently for normal tasks daily.||Moderate display and acceptable heating, suitable for everyday simple activities.||I love the reliable display and the charging works perfectly in all situations.||Bad portability with extremely poor display, this phone should be avoided at all costs.||Moderate portability and acceptable usability, suitable for everyday simple activities.||Very happy with the strong heating and the design experience every single day.||The usability feels okay and the charging delivers a standard experience overall.||Average charging performance paired with a stable usability suitable for casual users.",https://www.flipkart.com/vivo-phones,70.0
Poco X7 Pro,Poco,88774.16,Android,casual,"Very frustrating battery and the screen constantly lags making usage extremely irritating.||Did not expect such great portability and performance, this phone truly shocked me.||The software gives trouble and the charging feels disappointing compared to other phones.||Unexpectedly impressive charging quality and the heating works flawlessly even under stress.||Worst screen ever and the performance completely ruins the experience every minute.||Very happy with the strong display and the usability experience every single day.||I love the reliable portability and the charging works perfectly in all situations.||The display underperforms sometimes and the screen feels weaker than expected overall.||The design is horrible and the heating makes the entire device annoying to use.||The software feels okay and the charging delivers a standard experience overall.||Disappointed with the slow software and the portability which struggles during long use.",https://www.flipkart.com/poco-mobile-phones-store,40.0
Pixel 9 Pro,Google,47304.15,Android,photography,"The audio is horrible and the design makes the entire device annoying to use.||Amazing performance and design combination, making this phone feel premium and fast.||The charging is poor and the performance does not offer good reliability sadly.||Weak software paired with inconsistent heating results in an unsatisfying experience daily.||The display is fine and the charging works decently for normal tasks daily.||Weak charging paired with inconsistent heating results in an unsatisfying experience daily.||Very happy with the strong performance and the charging experience every single day.||The performance is poor and the software does not offer good reliability sadly.||The display gives trouble and the usability feels disappointing compared to other phones.||Amazing surprise with the excellent design and the software functioning smoothly always.||The design gives trouble and the performance feels disappointing compared to other phones.||Worst camera ever and the design completely ruins the experience every minute.||The camera gives trouble and the portability feels disappointing compared to other phones.||Surprisingly strong camera and the display performs far better than I expected initially.||Very frustrating performance and the battery constantly lags making usage extremely irritating.",https://www.flipkart.com/google-phones,40.0
Moto Edge 50 Ultra,Motorola,89267.66,Android,productivity,Weak design paired with inconsistent usability results in an unsatisfying experience daily.||Worst usability ever and the screen completely ruins the experience every minute.||Excellent performance quality and the camera makes the phone enjoyable for long usage.||Unexpectedly impressive audio quality and the heating works flawlessly even under stress.||Unexpectedly impressive portability quality and the charging works flawlessly even under stress.||Worst charging ever and the screen completely ruins the experience every minute.||Worst screen ever and the display completely ruins the experience every minute.||The audio is impressive and the portability performance feels smooth during everyday use.||Worst battery ever and the display completely ruins the experience every minute.||Amazing surprise with the excellent screen and the software functioning smoothly always.||The design underperforms sometimes and the performance feels weaker than expected overall.,https://www.amazon.in/motorola,40.0
