Usage,Type,Name
Gaming,Accessory,Razer Kishi Mobile Game Controller
Gaming,Accessory,Black Shark Cooling Fan
Gaming,Accessory,JBL Quantum TWS Earbuds
Gaming,Accessory,Gaming Finger Sleeves
Gaming,Accessory,RGB Mobile Gaming Pad
Gaming,Game,Call of Duty: Mobile
Gaming,Game,Asphalt 9: Legends
Gaming,Game,PUBG: New State
Gaming,Game,Genshin Impact
Gaming,Game,Mobile Legends: Bang Bang
Casual,Accessory,Portable Charger
Casual,Accessory,PopSocket Grip
Casual,Accessory,Phone Stand
Casual,Accessory,Bluetooth Earbuds
Casual,App,Spotify
Casual,App,Netflix
Casual,App,Instagram
Casual,App,TikTok
Entertainment,Accessory,Bluetooth Speaker
Entertainment,Accessory,Headphones
Entertainment,Accessory,VR Headset
Entertainment,Accessory,Projector Mini Portable
Entertainment,App,YouTube
Entertainment,App,Amazon Prime Video
Entertainment,App,Disney+ Hotstar
Entertainment,App,Netflix
Photography,Accessory,DJI Osmo Mobile Gimbal
Photography,Accessory,Sandisk Extreme Pro SD Card
Photography,Accessory,Portable LED Ring Light
Photography,Accessory,Mini Tripod Stand
Photography,App,Adobe Lightroom Mobile App
Photography,App,Snapseed
Photography,App,VSCO
Photography,App,Canva
Productivity,App,Microsoft Office Mobile
Productivity,App,Google Drive
Productivity,App,Evernote
Productivity,App,Trello
Productivity,Accessory,Stylus Pen
Productivity,Accessory,Wireless Keyboard
Productivity,Accessory,Bluetooth Mouse
Productivity,Accessory,Portable Scanner
